--- Optimization Complete ---

Start                     2015-11-16 00:00:00
End                       2025-11-14 00:00:00
Duration                   3651 days 00:00:00
Exposure Time [%]                    79.68191
Equity Final [$]                 406594.50101
Equity Peak [$]                  420383.15061
Commissions [$]                    7735.01618
Return [%]                           306.5945
Buy & Hold Return [%]               226.52065
Return (Ann.) [%]                    15.08991
Volatility (Ann.) [%]                13.64807
CAGR [%]                             10.16551
Sharpe Ratio                          1.10564
Sortino Ratio                         1.83059
Calmar Ratio                          1.28969
Alpha [%]                           211.28833
Beta                                  0.42074
Max. Drawdown [%]                   -11.70041
Avg. Drawdown [%]                    -1.46618
Max. Drawdown Duration      221 days 00:00:00
Avg. Drawdown Duration       19 days 00:00:00
# Trades                                   19
Win Rate [%]                         57.89474
Best Trade [%]                       67.81106
Worst Trade [%]                      -4.07454
Avg. Trade [%]                        7.67382
Max. Trade Duration         638 days 00:00:00
Avg. Trade Duration         152 days 00:00:00
Profit Factor                         8.61683
Expectancy [%]                        8.76361
SQN                                   2.14719
Kelly Criterion                       0.49959
_strategy                 HeikinAshiWeight...
_equity_curve                             ...
_trades                       Size  EntryB...
dtype: object

--- Best Parameters ---
  weight_1: 0.25 | weight_2: 0.15
  weight_3: 0.25 | weight_4: 0.3
  weight_doji: 0.35 | weight_volume: 0.0
  entry_threshold: 0.75 | exit_threshold: 1.2
  stop_atr_mult: 1.5
Plot saved as: HeikinAshi_optimized_2025-12-02.html  ||  Heatmap saved as: HeikinAshi_heatmap_2025-12-02.html

--- Top 100 parameter sets (by Return [%]): (.csv) ---
weight_1,weight_2,weight_3,weight_4,weight_doji,weight_volume,entry_threshold,exit_threshold,stop_atr_mult,Return [%]
0.15,0.25,0.20,0.35,0.35,0.00,0.80,1.30,1.50,284.88
0.20,0.15,0.20,0.35,0.30,0.15,0.70,1.20,1.50,284.69
0.20,0.15,0.25,0.30,0.35,0.15,0.75,1.30,1.50,284.59
0.20,0.15,0.20,0.35,0.25,0.05,0.75,1.20,1.50,284.40
0.15,0.15,0.25,0.35,0.30,0.15,0.75,1.30,1.50,284.31
0.20,0.15,0.25,0.35,0.35,0.15,0.75,1.30,1.50,284.27
0.20,0.15,0.25,0.30,0.35,0.00,0.70,1.20,1.50,284.24
0.20,0.15,0.20,0.30,0.35,0.00,0.70,1.20,1.50,284.21
0.25,0.20,0.20,0.35,0.30,0.00,0.80,1.30,1.50,283.91
0.25,0.15,0.25,0.30,0.25,0.00,0.75,1.20,1.50,283.91
0.20,0.15,0.20,0.30,0.25,0.00,0.65,1.10,1.50,283.91
0.20,0.15,0.20,0.35,0.30,0.05,0.70,1.20,1.50,283.67
0.20,0.15,0.20,0.35,0.30,0.10,0.70,1.20,1.50,283.67
0.20,0.15,0.20,0.35,0.25,0.10,0.70,1.20,1.50,283.60
0.15,0.15,0.30,0.35,0.35,0.00,0.75,1.30,1.50,283.52
0.15,0.25,0.20,0.30,0.30,0.10,0.75,1.20,1.50,283.20
0.25,0.20,0.25,0.30,0.35,0.00,0.80,1.30,1.50,283.10
0.25,0.15,0.25,0.25,0.35,0.00,0.75,1.30,1.50,283.03
0.20,0.15,0.30,0.35,0.35,0.00,0.80,1.30,1.50,282.96
0.20,0.15,0.25,0.25,0.30,0.00,0.65,1.10,1.50,282.91
0.25,0.15,0.20,0.35,0.25,0.00,0.70,1.20,1.50,282.87
0.25,0.20,0.20,0.35,0.35,0.05,0.80,1.30,1.50,282.44
0.25,0.15,0.25,0.35,0.30,0.00,0.80,1.30,1.50,282.41
0.20,0.20,0.20,0.30,0.30,0.00,0.75,1.20,1.50,282.41
0.20,0.15,0.20,0.35,0.35,0.10,0.70,1.30,1.50,282.40
0.15,0.20,0.20,0.35,0.35,0.05,0.75,1.30,1.50,281.94
0.20,0.15,0.25,0.25,0.35,0.10,0.70,1.20,1.50,281.86
0.20,0.20,0.20,0.35,0.30,0.10,0.75,1.30,1.50,281.84
0.20,0.15,0.20,0.35,0.25,0.05,0.70,1.20,1.50,281.84
0.25,0.15,0.30,0.30,0.35,0.00,0.75,1.30,1.50,281.76
0.15,0.25,0.20,0.35,0.30,0.05,0.80,1.30,1.50,281.74
0.15,0.25,0.20,0.35,0.35,0.05,0.80,1.30,1.50,281.74
0.15,0.15,0.25,0.35,0.30,0.10,0.75,1.30,1.50,281.73
0.20,0.15,0.25,0.25,0.35,0.15,0.70,1.20,1.50,281.67
0.20,0.15,0.20,0.30,0.30,0.05,0.65,1.10,1.50,281.61
0.15,0.25,0.20,0.30,0.30,0.00,0.75,1.20,1.50,281.54
0.20,0.15,0.20,0.35,0.30,0.00,0.70,1.20,1.50,281.21
0.15,0.15,0.20,0.35,0.30,0.05,0.70,1.20,1.50,281.16
0.15,0.15,0.20,0.35,0.30,0.10,0.65,1.20,1.50,281.11
0.20,0.15,0.25,0.35,0.30,0.10,0.75,1.30,1.50,281.09
0.25,0.15,0.30,0.30,0.35,0.00,0.80,1.30,1.50,281.00
0.20,0.15,0.20,0.25,0.30,0.00,0.65,1.10,1.50,280.57
0.20,0.15,0.25,0.25,0.30,0.00,0.70,1.10,1.50,280.56
0.25,0.15,0.25,0.30,0.35,0.00,0.75,1.20,2.00,280.51
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.10,1.50,280.39


